CONCEPTOS,CONCEPTO ASTOR,ID
Acreditación Cheque Dep.48 Hs.,CHEQUE,1
Cobro Percepción IIBB,IIBB,3
COMIS.TRANSFERENCIAS,COMISIONES,2
Comisión Consulta Cámara,COMISIONES,2
Comisión Mantenimiento Cuenta,COMISIONES,2
Comisión Riesgo Contigente,COMISIONES,2
COMISIONES DATANET,COMISIONES,2
Contras.Ints.Sobreg.,INTERESES,6
CRED BCA ELECTR INTERBANC EXEN,TRANSFERENCIA,12
CRED BCA ELECTRONICA INTERBANC,TRANSFERENCIA,12
Credito DEBIN,TRANSFERENCIA,12
Crédito por Transferencia,TRANSFERENCIA,12
Crédito Transf. HomeBanking,TRANSFERENCIA,12
DEB BCA ELECTR INTERBANC EXEN,TRANSFERENCIA,12
DEB BCA ELECTRONICA INTERBANC,TRANSFERENCIA,12
DEB BCA ELECTRONICA INTRABANC,TRANSFERENCIA,12
Deb. Pago de Sueldo,SUELDOS,11
Débito Automático de Servicio,TRANSFERENCIA,12
Débito Comisión Pago a Prov.,COMISIONES,2
Debito Transf. HomeBanking,TRANSFERENCIA,12
Descto. Docum.- Acreditación,OPERACIONES FINANCIERAS,8
Devolución Imp. Débitos,IMPUESTOS DEBITOS,5
IIBB- Acreditaciones Bancarias,IIBB,3
IMPUESTO A LOS SELLOS,SELLOS,10
Impuesto Débitos y Créditos/CR,IMPUESTOS CREDITOS,4
Impuesto Débitos y Créditos/DB,IMPUESTOS DEBITOS,5
Intereses de Sobregiro,INTERESES,6
IVA,IVA,7
Pago Automático de Préstamo,OPERACIONES FINANCIERAS,8
Pago Cámara SPV 24 hs.,CHEQUE,1
Pago Cheque de Cámara Recibida,CHEQUE,1
Pago de Servicios,TRANSFERENCIA,12
Percepción I.V.A. RG. 3337,PERC. IVA,9
Préstamos Inversion Productiva,OPERACIONES FINANCIERAS,8
Rech. Cheques Falla Técnica,CHEQUE / FALLA,1
SIPAP - Pago Cámara SPV 24 hs.,CHEQUE,1
SIPAP - Pago Cheque de Cámara,CHEQUE,1
Transferencia por CBU,TRANSFERENCIA,12
Trf. Masivas Pago Proveedores,TRANSFERENCIA,12
Trf. Pago.Prov-Terceros O/Bcos,TRANSFERENCIA,12